fishname,fs,fishdate,time_flow,time_react,tdiff,info,info_other,direction,stable10prev,change10,stable10after,FL,fishtype,loc_name,loc_x,loc_y,Unnamed: 3,flocs,fdist,stable10prev_v,stable10next_v,change10_v,change5,change5_v,change1,asfractprev5,asfractprev10,tsec,abs1,abs5,abs10,fsdir,success,absstable10,absstable10_v,fdistcm
wild15,high,04/05/2021,13:24:22,13:25:41,00:01:19,dir_change,,counter,17.7,-20.6,-21.1,13,wild,wild15,2.608989744997549,0.0599878334602497,,o18,0.10993243984999934,2.263232692902394,0.5676462121975466,0.6992058987801011,-20.4,0.5477225575051661,-20.4,-1.152542372881356,-1.1638418079096047,79.0,20.4,20.4,20.6,high_counter,yes,17.7,2.263232692902394,6.595946390999961
wild17,high,04/05/2021,14:20:34,14:21:59,00:01:25,dir_change,,counter,17.7,-21.0,-21.1,13,wild,wild17,2.607525494027912,0.0652355921190963,,o18,0.10600967690159648,2.263232692902394,0.5676462121975466,0.6666666666666666,-21.2,0.8366600265340756,-21.2,-1.1977401129943503,-1.1864406779661016,85.0,21.2,21.2,21.0,high_counter,yes,17.7,2.263232692902394,6.360580614095788
wild18,high,04/05/2021,14:47:54,14:48:58,00:01:04,dir_change,,clock,-14.6,5.15,7.45,13,wild,wild18,0.1124590334442193,0.9192701379804868,,h27,0.04138296555715572,0.45946829173634074,3.0226000580809744,2.1864481598143493,5.5,1.6583123951777,5.5,-0.3767123287671233,-0.3527397260273973,64.0,5.5,5.5,5.15,high_clock,yes,14.6,0.45946829173634074,2.482977933429343
wild19,high,04/05/2021,15:15:58,15:16:12,00:00:14,swim_off,barely stable but swims off,counter,19.4,14.6,-16.3,13,wild,wild19,0.1167663604212178,0.7585184979710503,,o5,0.06738838803282778,0.9660917830792959,1.4181364924121764,5.399588461684424,15.2,4.764451699828638,15.2,0.7835051546391752,0.7525773195876289,14.0,15.2,15.2,14.6,high_counter,dk,19.4,0.9660917830792959,4.043303281969666
wild20,high,04/05/2021,15:45:16,15:45:56,00:00:40,dir_change,,clock,-15.15,18.2,23.2,13,wild,wild20,0.1949504288993046,0.0348668892223164,,h21,0.03880756216772846,0.8181958472422385,1.2516655570345725,4.417138339593985,20.4,2.5099800796022267,20.4,-1.3465346534653464,-1.2013201320132012,40.0,20.4,20.4,18.2,high_clock,yes,15.15,0.8181958472422385,2.328453730063708
wild21,high,04/05/2021,16:12:24,16:16:09,00:03:45,dir_change,,counter,17.7,-21.1,-21.1,13,wild,wild21,2.637807929518074,0.0739529456129417,,o18,0.086439183172277,2.263232692902394,0.5676462121975466,0.5676462121975466,-21.1,0.5676462121975466,-21.1,-1.1920903954802262,-1.1920903954802262,225.0,21.1,21.1,21.1,high_counter,yes,17.7,2.263232692902394,5.18635099033662
wild25,high,05/05/2021,12:12:25,12:13:44,00:01:19,dir_change,,counter,19.1,-9.9,-7.1,13,wild,wild25,2.56884031813944,0.0389540110867874,,o19,0.12034044699940925,2.0248456731316584,3.2812599206199238,2.5582111805799856,-9.6,3.7815340802378077,-9.6,-0.5026178010471204,-0.5183246073298429,79.0,9.6,9.6,9.9,high_counter,yes,19.1,2.0248456731316584,7.220426819964556
wild26,high,05/05/2021,12:39:14,12:39:33,00:00:19,dir_change,barely stable but changes direction,clock,16.2,6.6,-17.7,13,wild,wild26,2.742824854420601,0.8333135548737086,,o14,0.14360772997224738,1.3165611772087666,1.2516655570345725,6.077280093375105,3.0,1.224744871391589,3.0,0.1851851851851852,0.4074074074074074,19.0,3.0,3.0,6.6,high_clock,yes,16.2,1.3165611772087666,8.616463798334843
wild27,high,05/05/2021,13:05:54,13:07:01,00:01:07,dir_change,dir change,counter,19.6,-12.9,-14.3,13,wild,wild27,0.7509814057950324,0.0602813933672169,,o3,0.02085639438710369,2.5473297566057065,0.8232726023485646,1.66332999331662,-13.8,0.8366600265340756,-13.8,-0.7040816326530612,-0.6581632653061225,67.0,13.8,13.8,12.9,high_counter,yes,19.6,2.5473297566057065,1.2513836632262214
wild30,high,05/05/2021,14:27:28,14:27:54,00:00:26,swim_off,swims off,clock,-15.95,6.85,24.6,13,wild,wild30,0.3870166900036114,0.0506721189104867,,h30,0.09251120797057881,1.0124228365658292,2.514402955419481,4.472446509213696,6.2,4.324349662087931,6.2,-0.3887147335423198,-0.42946708463949845,26.0,6.2,6.2,6.85,high_clock,dk,15.95,1.0124228365658292,5.550672478234729
